"Welcome to the ""Theory of Anything"" podcast.
Today, for our 100th episode, we've got the man who needs no introduction, David Deutsch.
How are you doing today, David?",HOST,"Добро пожаловать на подкаст «Теория всего».
Сегодня, в нашем 100-м выпуске, у нас человек, который не нуждается в представлении, Дэвид Дойч.
Как у вас дела сегодня, Дэвид?","Ласкаво просимо до подкасту «Теорія всього».
Сьогодні, у нашому 100-му випуску, у нас людина, яка не потребує представлення, Девід Дойч.
Як у вас справи сьогодні, Девіде?"
"Fine.
Thank you.
Thanks for inviting me.",DD,"Хорошо.
Спасибо.
Спасибо, что пригласили меня.","Добре.
Дякую.
Дякую, що запросили мене."
"Yeah, I hope you don't mind if I call you David.
Seems right.
And of course, Bruce Nielsen.
How are you today, Bruce?",HOST,"Да, надеюсь, ты не против, если я буду называть тебя Дэвидом.
Кажется, это правильно.
И, конечно, Брюс Нильсен.
Как дела сегодня, Брюс?","Так, сподіваюся, ти не проти, якщо я називатиму тебе Девідом.
Здається, це правильно.
І, звісно, ​​Брюс Нільсен.
Як справи сьогодні, Брюсе?"
"Good.
Excited.",BRUCE,"Хорошо.
Возбужден.","Добре.
Схвильований."
"Me too, to say the least. First, I'm going to give a short introduction here. This will not be one of my 25 minute rambling introductions. I don't think our audience will be too disappointed with that. Bruce can say a few words.
I've got some questions for you, David, based on different issues that we've wrestled with on the podcast, mostly related to your worldview.
And then Bruce would like to have a little bit more in depth conversation both on cosmological heat death, something that we've ... I don't know, we keep coming back to it.
I think we might be the only podcast out there that does.
And then - the probability.",HOST,"Я тоже, мягко говоря.
У меня есть несколько вопросов к тебе, Дэвид, основанных на разных проблемах, с которыми мы боролись в подкасте, в основном связанных с твоим мировоззрением.
А затем Брюс хотел бы немного более подробно поговорить о космологической тепловой смерти, о чем мы... мы постоянно к этому возвращаемся.
Я думаю, что мы, возможно, единственный подкаст, который это делает.
А затем — о вероятности.","Я теж, м'яко кажучи.
У мене є кілька запитань до тебе, Девіде, заснованих на різних проблемах, з якими ми боролися в подкасті, в основному пов'язаних із твоїм світоглядом.
А потім Брюс хотів би трохи детальніше поговорити про космологічну теплову смерть, про що ми... ми постійно до цього повертаємося.
Я думаю, що ми, можливо, єдиний подкаст, який це робить.
А потім про ймовірність."
Yeah.,DD,Ага.,Ага.
"David, you don't seem like the kind of person, like someone going on and on about how great your work is.
So let me be very succinct here.
I still remember the feeling of first listening to ""Beginning of Infinity"" four years ago.
Each chapter was like an explosion in my brain.
Let's just say your work has changed my mind about knowledge, reality, how I treat my children, and what a human is.
I've been on here with Bruce about 50 episodes listening and talking about the ""four strands of reality"" and related ideas, and I only wish to keep wrestling with these ideas you have introduced me to until the heat death of the universe.
So thank you, David.",HOST,"Дэвид, ты не похож на человека, который постоянно говорит о том, как прекрасна его работа.
Поэтому позвольте мне быть здесь очень кратким.
Я все еще помню ощущение, когда впервые услышал «Начало бесконечности» четыре года назад.
Каждая глава была как взрыв в моем мозгу.
Скажем так, твоя работа изменила мое мнение о знаниях, реальности, о том, как я отношусь к своим детям, и о том, что такое человек.
Я был здесь с Брюсом около 50 эпизодов, слушая и говоря о «четырех нитях реальности» и связанных с ними идеях, и я хочу только продолжать бороться с этими идеями, с которыми ты меня познакомил, до тепловой смерти вселенной.
Так что спасибо, Дэвид.","Девіде, ти не схожий на людину, яка постійно говорить про те, наскільки прекрасна його робота.
Тому дозвольте мені бути тут дуже коротким.
Я все ще пам'ятаю відчуття, коли вперше почув «Початок нескінченності» чотири роки тому.
Кожен розділ був як вибух у моєму мозку.
Скажімо так, твоя робота змінила мою думку про знання, реальність, про те, як я ставлюся до своїх дітей, і про те, що таке людина.
Я був тут із Брюсом близько 50 епізодів, слухаючи і говорячи про «чотири ниті реальності» та пов'язані з ними ідеї, і я хочу лише продовжувати боротися з тими ідеями, з якими ти мене познайомив, до теплової смерті всесвіту.
Тож дякую, Девіде."
Thank you so much.,DD,Большое спасибо.,Дякую.
"And I wanted to say the same thing.
I read your first book ""fabric of reality"" before ""beginning of Infinity"" came out.
So I'm one of the early adopters of old school.
Yes, since most people seem to have introduced through beginning of Infinity.
I was a religious Blogger and I had a religious blogging friend and he introduced the Your ""fabric of reality"" book to me and I loved it.
Started to explore a lot of the ideas in it and that's what eventually led to the idea of having a podcast ""Theory of anything"" where we could kind of start with Papa Deutsch and kind of explore out from there.
I even ended up going back to school, ended up studying computer science. I went back to school based on the my interest that came out of the follow up to your book and as I was trying to explore other books and other related ideas.",BRUCE,"И я хотел сказать то же самое.
Я прочитал вашу первую книгу «Структура Реальности» до выхода «Начала бесконечности».
Так что я один из первых последователей старой школы.
После этого много людей тоже познакомились с «Началом бесконечности».
Я был религиозным блогером, и у меня был друг, тоже религиозный блогер, и он представил мне вашу книгу «Структура Реальности», и мне она понравилась.
Я начал исследовать многие идеи в ней, и это в конечном итоге привело к идее этого подкаста «Теория чего угодно», где мы могли бы начать с Поппера и Дойча и как бы исследовать оттуда.
Я даже в итоге вернулся в школу, в конечном итоге изучил информатику. Я вернулся в школу из-за интереса, возникшего у меня после прочтения вашей книги, а также потому, что я пытался изучить другие книги и связанные с ними идеи.","І я хотів сказати те саме.
Я прочитав вашу першу книгу ""Структура Реальності"" до виходу ""Початку нескінченності"".
Так що я один із перших послідовників старої школи.
Після цього багато людей також познайомилися з «Початком нескінченності».
Я був релігійним блогером, і у мене був друг, також релігійний блогер, і він представив мені вашу книгу «Структура Реальності», і мені вона сподобалася.
Я почав досліджувати багато ідей у ​​ній, і це зрештою призвело до ідеї цього подкасту «Теорія чого завгодно», де ми могли б почати з Поппера і Дойча і як би дослідити звідти.
Я навіть у результаті повернувся до школи, зрештою вивчив інформатику. Я повернувся до школи через інтерес, який виник у мене після прочитання вашої книги, а також тому, що я намагався вивчити інші книги та пов'язані з ними ідеї."
Great to hear.,DD,Рад слышать.,Радий чути.
