start,speaker,,text
19.022,3,Welcome to the Theory of Anything podcast.,Добро пожаловать в теорию чего -либо подкаста.
23.709,3,"Today, for our 100th episode, we've got the man who needs no introduction, ","Сегодня, в нашем сотволе, у нас есть человек, которому не нужно представление,"
33.271,3,David Deutsch.,Дэвид Дойч.
34.735,3,"How are you doing today, David?","Как у тебя дела сегодня, Дэвид?"
36.98,2,Fine.Thank you.,"Хорошо, спасибо."
37.782,2,Thanks for inviting me.,"Спасибо, что пригласили меня."
39.487,3,"Yeah, I hope you don't mind if I call you David.","Да, я надеюсь, ты не возражаешь, если я назову тебя Дэвидом."
41.391,3,seems right.,Кажется правильным.
43.556,3,"And of course, Bruce Nielsen.","И, конечно, Брюс Нильсен."
45.602,3,"How are you today, Bruce?","Как ты сегодня, Брюс?"
46.926,1,Good.,Хороший.
47.668,1,Excited,Взволнованный.
49.854,3,"me too, to say the least.","Я тоже, если не сказать больше."
52.242,3,"First, I'm going to give a short introduction here.","Во -первых, я собираюсь сделать краткое представление здесь."
55.087,3,This will not be one of my 25 minute rambling introductions.,Это не будет одно из моих двадцати пятиминутных бродяга.
59.955,3,I don't think our audience will be too disappointed with that.,"Я не думаю, что наша аудитория будет слишком разочарована этим."
63.321,3,Bruce can say a few words.,Брюс может сказать несколько слов.
65.824,3,"I've got some questions for you, David, based on different issues that we've wrestled with on the podcast, mostly related to your worldview.","У меня есть несколько вопросов для вас, Дэвид, основываясь на различных проблемах, с которыми мы боролись на подкасте, в основном связанные с вашим мировоззрением."
75.872,3,And then,А потом
77.233,3,Bruce would like to have a little bit more in depth conversation both on cosmological heat death,Брюс хотел бы иметь немного более подробную беседу как о космологической смерти тепла.
84.696,3,"something that we've we've, I don't know, we keep coming back to it.","Что -то, что мы, я не знаю, мы продолжаем возвращаться к нему."
88.96,3,"I think we might be the only, only podcast out there that does.","Я думаю, что мы могли бы быть единственным подкастом, который делает."
93.945,3,and then probability,А затем вероятность.
97.489,3,"Yeah. David, you don't seem like the kind of person, like someone going on and on about how great your work is.","Да, Дэвид, ты не похож на того человека, которому нравится кто -то, кто продолжает и рассказывает о том, насколько хороша твоя работа."
103.498,3,So let me be very succinct here.,"Итак, позвольте мне быть здесь очень лаконичным."
